index,id,nome,lat,lng,estado,regiao
5341,304392,Sud Mennucci,-20.687685029047,-50.9242016699656,SP,Região Sudeste
5342,305533,Sul Brasil,-26.7356168073774,-52.96441630243879,SC,Região Sul
5343,305634,Sulina,-25.707020537905997,-52.73031491705879,PR,Região Sul
5344,303905,Sumaré,-22.820891440304397,-47.273224269725,SP,Região Sudeste
5345,300665,Sumé,-7.672522174134389,-36.8828463862949,PB,Região Nordeste
5346,303073,Sumidouro,-22.0489448222593,-42.6765151770725,RJ,Região Sudeste
5347,300663,Surubim,-7.84707128047798,-35.7604701002722,PE,Região Nordeste
5348,301041,Sussuapara,-7.02829503233078,-41.4057640802666,PI,Região Nordeste
5349,304393,Suzanápolis,-20.498549223076502,-51.0271797858196,SP,Região Sudeste
5350,303932,Suzano,-23.5453080695323,-46.3115779014736,SP,Região Sudeste
5351,305775,Tabaí,-29.6435190564135,-51.6827474535491,RS,Região Sul
5352,304224,Tabaporã,-11.3088719007895,-56.823276095672796,MT,Região Centro-Oeste
5353,303703,Tabapuã,-20.960636416117,-49.031147536530504,SP,Região Sudeste
5354,303815,Tabatinga,-21.7294600718928,-48.6903413813425,AM,Região Norte
5355,305836,Tabatinga,-4.241979670169959,-69.9387521930304,AM,Região Norte
5356,300784,Tabira,-7.58408174488646,-37.538042527502604,PE,Região Nordeste
5357,303747,Taboão da Serra,-23.602346108550602,-46.7530370879862,SP,Região Sudeste
5358,302108,Tabocas do Brejo Velho,-12.7030761097803,-44.0078069858793,BA,Região Nordeste
5359,300763,Taboleiro Grande,-5.919890117812411,-38.0370030696539,RN,Região Nordeste
5360,303092,Tabuleiro,-21.3637280903302,-43.2384244522478,MG,Região Sudeste
5361,300746,Tabuleiro do Norte,-5.24393279927563,-38.128485369821796,CE,Região Nordeste
5362,300601,Tacaimbó,-8.316933291170809,-36.291872592459,PE,Região Nordeste
5363,301274,Tacaratu,-9.103399390914769,-38.1498095323973,PE,Região Nordeste
5364,304509,Taciba,-22.3899785662387,-51.2850080667745,SP,Região Sudeste
5365,305897,Tacima,-6.488000004045481,-35.6370000030396,,
5366,314398,Tacuaras,-26.8235415137231,-57.957232691901105,,
5367,314301,Tacuarembó,-31.7078318662463,-55.981546501818,,
5368,314272,Tacuatí,-23.448214963943602,-56.7656852257908,,
5369,305236,Tacuru,-23.6364104745566,-55.014589060777595,MS,Região Centro-Oeste
5370,304963,Taguaí,-23.4519882699365,-49.408948107518206,SP,Região Sudeste
5371,302213,Taguatinga,-12.3981037513346,-46.4346330290493,TO,Região Norte
5372,303804,Taiaçu,-21.143611229075898,-48.511607689727896,SP,Região Sudeste
5373,301946,Tailândia,-2.9462264900728194,-48.9492537425107,PA,Região Norte
5374,304616,Taió,-27.1214798903399,-49.9946178754936,SC,Região Sul
5375,302131,Taiobeiras,-15.8110782668388,-42.2262946505726,MG,Região Sudeste
5376,302217,Taipas do Tocantins,-12.1921827933937,-46.99144459319329,TO,Região Norte
5377,302312,Taipu,-5.62538788841554,-35.5987556205445,RN,Região Nordeste
5378,303801,Taiúva,-21.1239913751452,-48.45195042007529,SP,Região Sudeste
5379,302459,Talismã,-12.8044831606117,-49.093049149653794,TO,Região Norte
5380,301079,Tamandaré,-8.75707575152366,-35.103575464814,PE,Região Nordeste
5381,304741,Tamarana,-23.720832803302102,-51.099482863618405,PR,Região Sul
5382,303661,Tambaú,-21.703391972730397,-47.27074208039411,SP,Região Sudeste
5383,304862,Tamboara,-23.204020726117502,-52.4747076486034,PR,Região Sul
5384,300861,Tamboril,-4.831766141601969,-40.3199186167208,CE,Região Nordeste
5385,302048,Tamboril do Piauí,-8.399551342371401,-42.9123229536196,PI,Região Nordeste
5386,303429,Tanabi,-20.6232528805766,-49.6567296013379,SP,Região Sudeste
