id,username,city,state,region,geo
2526,@matsssantos,Foz do Iguaçu,PR,Região Sul,"-25.543209499478504,-54.5831454369913"
2527,@vtrsanti,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2528,@deliriumdayss,Passo Fundo,RS,Região Sul,"-28.2580373239257,-52.40956606607671"
2529,@MisterrMoura,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2530,@lubarretotv,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2531,@leomarqueslpm,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
2532,@nicsonolivier12,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2533,@coutinhobrubs,Andaraí,BA,Região Nordeste,"-12.7952418384008,-41.328646655709896"
2534,@XavierAraujo,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2535,@wagnermota75,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2536,@cingridoli,São Lourenço,MG,Região Sudeste,"-22.1170666037201,-45.050981137057114"
2537,@igormrao,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2538,@duda_pachco,Maricá,RJ,Região Sudeste,"-22.935920612649106,-42.8249575990061"
2539,@redvelvetbtch,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2540,@thaic_alves,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2541,@lovesongfour4,Recife,PE,Região Nordeste,"-8.04750898689904,-34.8776414904569"
2542,@CleocianeSanta2,Ananindeua,PA,Região Norte,"-1.36429274124725,-48.374674889606396"
2543,@jrlchaves,Manaus,AM,Região Norte,"-3.1194301771900896,-60.0221093878098"
2544,@priiscillapm,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2545,@tbalbino2_crf,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2546,@arthuromoraes,Goiânia,GO,Região Centro-Oeste,"-16.6873398206412,-49.2651436320112"
2547,@brunobmessias,Boa Vista,RR,Região Norte,"-7.25982829092351,-36.236921190970996"
2548,@pirexs1,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2549,@lorodadoca,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2550,@ferreiragbr,Niterói,RJ,Região Sudeste,"-22.883695780715605,-43.1037394672983"
2551,@raaijoaquim,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2552,@harrisonpossino,Ananindeua,PA,Região Norte,"-1.36429274124725,-48.374674889606396"
2553,@mi_madeira_,Recife,PE,Região Nordeste,"-8.04750898689904,-34.8776414904569"
2554,@PercianoAna,Vitória,ES,Região Sudeste,"-20.316436299583106,-40.313497603987706"
2555,@takanokev,Manaus,AM,Região Norte,"-3.1194301771900896,-60.0221093878098"
2556,@Bkziinhaah,São Gonçalo,RJ,Região Sudeste,"-22.8272756800223,-43.0637230257314"
2557,@puutz_lua,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2558,@quenhebarbara,Belo Horizonte,MG,Região Sudeste,"-19.9111294232859,-43.927313560653495"
2559,@sameagomes,Manaus,AM,Região Norte,"-3.1194301771900896,-60.0221093878098"
2560,@Leozin_Lomba,Matinhos,PR,Região Sul,"-25.824135234663306,-48.5494314903368"
2561,@lizcsmorais,Manaus,AM,Região Norte,"-3.1194301771900896,-60.0221093878098"
2562,@justaepaciente,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2563,@mairosin,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2564,@baianna_navy,Salvador,BA,Região Nordeste,"-12.972681151285999,-38.501707683196"
2565,@Daniel_MVG,Campina Grande,PB,Região Nordeste,"-7.22237762440728,-35.8734390990489"
2566,@Pedroduarte1806,Manaus,AM,Região Norte,"-3.1194301771900896,-60.0221093878098"
2567,@Lu_kasSousa,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2568,@Quaresmataai,Santa Amélia,PR,Região Sul,"-23.2658894716221,-50.429188183664294"
2569,@AnnynhaMacedo_,Macapá,AP,Região Norte,"0.034192803998319,-51.07018035360021"
2570,@beatrixpl,Belém,PA,Região Norte,"-6.7434595215496,-35.5172208801456"
2571,@bia_honorio,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2572,@theTiagoSampaio,São Paulo,SP,Região Sudeste,"-23.5338633880999,-46.6403182226843"
2573,@vulgocouttinho,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2574,@figueiraCabral,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2575,@freitas_ingrid0,Anchieta,ES,Região Sudeste,"-20.7959823305262,-40.642894511239604"
2576,@belisaaz,Rio de Janeiro,RJ,Região Sudeste,"-22.9138683111265,-43.2010414947482"
2577,@dinhohds,Maceió,AL,Região Nordeste,"-9.666854605479,-35.7355523147179"
2578,@paula_jamille,São Luís,MA,Região Nordeste,"-2.53951514746143,-44.2832158364691"
2579,@tamakomaumb,Curitiba,PR,Região Sul,"-25.420501362396998,-49.2654676568489"
2580,@Walfritsch,Curitiba,PR,Região Sul,"-25.420501362396998,-49.2654676568489"
